Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,Garage Cars,Garage Area,SalePrice,Exter Qual_TA,Foundation_PConc,Bsmt Qual_Ex,Kitchen Qual_Ex,Kitchen Qual_TA
6,1960,1960,112.0,1080.0,1656,1656,1,2.0,528.0,215000,True,False,False,False,True
5,1961,1961,0.0,882.0,896,896,1,1.0,730.0,105000,True,False,False,False,True
6,1958,1958,108.0,1329.0,1329,1329,1,1.0,312.0,172000,True,False,False,False,False
7,1968,1968,0.0,2110.0,2110,2110,2,2.0,522.0,244000,False,False,False,True,False
5,1997,1998,0.0,928.0,928,1629,2,2.0,482.0,189900,True,True,False,False,True
6,1998,1998,20.0,926.0,926,1604,2,2.0,470.0,195500,True,True,False,False,False
8,2001,2001,0.0,1338.0,1338,1338,2,2.0,582.0,213500,False,True,False,False,False
8,1992,1992,0.0,1280.0,1280,1280,2,2.0,506.0,191500,False,True,False,False,False
8,1995,1996,0.0,1595.0,1616,1616,2,2.0,608.0,236500,False,True,False,False,False
7,1999,1999,0.0,994.0,1028,1804,2,2.0,442.0,189000,True,True,False,False,False
6,1993,1994,0.0,763.0,763,1655,2,2.0,440.0,175900,True,True,False,False,True
6,1992,2007,0.0,1168.0,1187,1187,2,2.0,420.0,185000,True,True,False,False,True
6,1998,1998,0.0,789.0,789,1465,2,2.0,393.0,180400,True,True,False,False,True
7,1990,1990,0.0,1300.0,1341,1341,1,2.0,506.0,171500,True,True,False,False,False
8,1985,1985,0.0,1488.0,1502,1502,1,2.0,528.0,212000,False,True,False,False,False
8,1988,2005,0.0,559.0,1080,1752,2,2.0,492.0,164000,False,False,False,False,True
4,1951,1951,0.0,864.0,864,864,1,2.0,400.0,141000,True,False,False,False,True
6,1978,1988,119.0,1542.0,2073,2073,2,2.0,500.0,210000,True,False,False,False,True
6,1977,1977,480.0,1844.0,1844,1844,2,2.0,546.0,190000,True,False,False,False,True
7,1974,1974,81.0,1053.0,1173,1173,2,2.0,528.0,170000,True,False,False,False,False
7,2000,2000,0.0,814.0,814,1674,2,2.0,663.0,216000,False,True,False,False,False
6,1970,1970,180.0,1004.0,1004,1004,1,2.0,480.0,149000,True,False,False,False,True
5,1971,2008,0.0,1078.0,1078,1078,1,2.0,500.0,149900,True,False,False,False,True
5,1968,1968,0.0,1056.0,1056,1056,1,1.0,304.0,142000,True,False,False,False,True
4,1970,1970,0.0,882.0,882,882,1,2.0,525.0,126000,True,False,False,False,True
4,1971,1971,0.0,864.0,864,864,1,0.0,0.0,115000,True,False,False,False,True
7,1999,1999,0.0,1405.0,1337,1337,2,2.0,511.0,184000,False,True,False,False,False
6,1971,1971,504.0,483.0,483,987,1,1.0,264.0,96000,True,False,False,False,True
5,1971,1971,492.0,525.0,525,1092,1,1.0,320.0,105500,True,False,False,False,True
6,1971,1971,381.0,525.0,525,1092,1,1.0,264.0,88000,True,False,False,False,True
6,1977,1977,0.0,1069.0,1069,1069,2,2.0,440.0,127500,True,False,False,False,True
6,1975,1975,0.0,855.0,855,1456,2,2.0,440.0,149900,True,False,False,False,False
7,1975,1975,0.0,836.0,836,836,1,1.0,308.0,120000,True,False,False,False,True
6,1978,1978,0.0,855.0,855,1456,2,2.0,440.0,146000,True,False,False,False,True
8,2007,2008,200.0,1704.0,1704,1704,2,3.0,772.0,306000,False,True,True,False,False
8,2009,2010,256.0,1544.0,1544,1544,2,3.0,868.0,290941,False,True,False,False,False
7,2005,2005,226.0,1541.0,1541,1541,2,2.0,532.0,220000,False,True,False,False,False
9,2005,2005,615.0,1698.0,1698,1698,2,3.0,730.0,275000,False,True,True,True,False
8,2005,2006,240.0,1822.0,1822,1822,2,3.0,678.0,259000,False,True,True,True,False
7,2004,2004,168.0,1517.0,1535,1535,2,2.0,532.0,214000,False,True,False,False,False
7,2009,2010,128.0,1358.0,1358,1358,2,2.0,484.0,224000,False,True,False,False,False
8,2002,2002,232.0,1671.0,1687,2250,2,3.0,756.0,320000,False,True,False,False,False
9,2005,2005,412.0,1752.0,1752,1752,2,2.0,576.0,319900,False,True,True,True,False
8,2006,2006,178.0,1370.0,1370,1370,2,2.0,484.0,205000,False,True,False,False,False
7,2003,2003,106.0,764.0,764,1626,2,2.0,474.0,175500,False,True,False,False,False
6,2005,2005,0.0,1324.0,1324,1324,2,2.0,430.0,199500,False,True,False,False,False
7,2006,2006,14.0,1145.0,1145,1145,2,2.0,437.0,160000,False,True,False,False,False
8,2004,2005,16.0,1256.0,1269,1269,2,2.0,430.0,192000,False,True,False,False,False
7,2004,2004,0.0,384.0,744,1374,2,2.0,400.0,184500,False,True,False,False,False
